Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
2506,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
2842,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
3202,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
3586,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
3970,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
4378,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
4810,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
5266,Snexian GURU 310,Snexian,698,3.3,"18,230","1,475",32 MB,32 MB,,
2866,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
3226,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
3610,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
3994,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
4402,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
4834,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
5290,GFive V8,GFive,725,3.8,767,52,32 MB,32 MB,,
2499,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
2835,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
3195,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
3579,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
3963,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
4371,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
4803,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
5259,"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,"14,932","1,394",32 MB,32 MB,,
4043,MTR MT322,MTR,749,3.7,26,3,32 MB,32 MB,,
4451,MTR MT322,MTR,749,3.7,26,3,32 MB,32 MB,,
4883,MTR MT322,MTR,749,3.7,26,3,32 MB,32 MB,,
5339,MTR MT322,MTR,749,3.7,26,3,32 MB,32 MB,,
4033,BlackZone B-312 Gold,BlackZone,889,3.7,588,34,10 MB,10 MB,,
4441,BlackZone B-312 Gold,BlackZone,889,3.7,588,34,10 MB,10 MB,,
4873,BlackZone B-312 Gold,BlackZone,889,3.7,588,34,10 MB,10 MB,,
5329,BlackZone B-312 Gold,BlackZone,889,3.7,588,34,10 MB,10 MB,,
1579,itel Ace2 Star,itel,899,4.4,46,4,4 MB,4 MB,,
1843,itel Ace2 Star,itel,899,4.4,46,4,4 MB,4 MB,,
2131,itel Ace2 Star,itel,899,4.4,46,4,4 MB,4 MB,,
